## What an installed RotMG client says about enchanting, as of the build below.
##
## Written by tools/read-client.js --snapshot. Its only purpose is to be
## compared against the next read: run the tool after a game update and it will
## name every weight, pool rule, artifact and item that moved.
##
## One sorted line per fact, so git can diff it as well.
## Format: kind|name|fields…

build|9476657c789f4aa38ae68bf57f2a0a18
ench|ALIEN_NEO_ONSHOOT_ATTACK_ROLLABLE|Neo Alien OnShoot Attack Boost|10000||ALIEN,ARMOR,ATTACK,NEO_ALIEN,ONSHOOT,ONSHOOTSTAT,PROC,PROCATTACK,RING,ROLLABLE,STATBOOST,WEAPON|ONSHOOTSTAT,PROCATTACK|EQUIPMENT,NEO_ALIEN|ABILITY
ench|ALIEN_NEO_ONSHOOT_DEFENSE_ROLLABLE|Neo Alien OnShoot Defense Boost|10000||ALIEN,ARMOR,DEFENSE,NEO_ALIEN,ONSHOOT,ONSHOOTSTAT,PROC,PROCDEFENSE,RING,ROLLABLE,STATBOOST,WEAPON|ONSHOOTSTAT,PROCDEFENSE|EQUIPMENT,NEO_ALIEN|ABILITY
ench|ALIEN_NEO_ONSHOOT_DEXTERITY_ROLLABLE|Neo Alien OnShoot Dexterity Boost|10000||ALIEN,ARMOR,DEXTERITY,NEO_ALIEN,ONSHOOT,ONSHOOTSTAT,PROC,PROCDEXTERITY,RING,ROLLABLE,STATBOOST,WEAPON|ONSHOOTSTAT,PROCDEXTERITY|EQUIPMENT,NEO_ALIEN|ABILITY
ench|ALIEN_NEO_ONSHOOT_HEAL_ROLLABLE|Neo Alien OnShoot Heal|10000||ALIEN,HEAL,NEO_ALIEN,ONSHOOT,PROC,RECOVERY,RING,ROLLABLE,WEAPON|HEAL|EQUIPMENT,NEO_ALIEN|ABILITY,ARMOR
ench|ALIEN_NEO_ONSHOOT_MAGIC_ROLLABLE|Neo Alien OnShoot Magic|10000||ALIEN,MAGIC,NEO_ALIEN,ONSHOOT,PROC,RECOVERY,RING,ROLLABLE,WEAPON|MAGIC|EQUIPMENT,NEO_ALIEN|ABILITY,ARMOR
ench|ALIEN_NEO_ONSHOOT_VITALITY_ROLLABLE|Neo Alien OnShoot Vitality Boost|10000||ALIEN,ARMOR,NEO_ALIEN,ONSHOOT,ONSHOOTSTAT,PROC,PROCVITALITY,RING,ROLLABLE,STATBOOST,Vitality,WEAPON|ONSHOOTSTAT,PROCVITALITY|EQUIPMENT,NEO_ALIEN|ABILITY
ench|ALIEN_NEO_ONSHOOT_WISDOM_ROLLABLE|Neo Alien OnShoot Wisdom Boost|10000||ALIEN,ARMOR,NEO_ALIEN,ONSHOOT,ONSHOOTSTAT,PROC,PROCWISDOM,RING,ROLLABLE,STATBOOST,WEAPON,WISDOM|ONSHOOTSTAT,PROCWISDOM|EQUIPMENT,NEO_ALIEN|ABILITY
ench|ALIEN_ONSHOOT_ATTACK_ROLLABLE|Alien OnShoot Attack Boost|15000||ALIEN,ARMOR,ATTACK,ONSHOOT,ONSHOOTSTAT,PROC,PROCATTACK,RING,ROLLABLE,STATBOOST,WEAPON|ONSHOOTSTAT,PROCATTACK|ALIEN,EQUIPMENT|ABILITY
ench|ALIEN_ONSHOOT_DEFENSE_ROLLABLE|Alien OnShoot Defense Boost|15000||ALIEN,ARMOR,DEFENSE,ONSHOOT,ONSHOOTSTAT,PROC,PROCDEFENSE,RING,ROLLABLE,STATBOOST,WEAPON|ONSHOOTSTAT,PROCDEFENSE|ALIEN,EQUIPMENT|ABILITY
ench|ALIEN_ONSHOOT_DEXTERITY_ROLLABLE|Alien OnShoot Dexterity Boost|15000||ALIEN,ARMOR,DEXTERITY,ONSHOOT,ONSHOOTSTAT,PROC,PROCDEXTERITY,RING,ROLLABLE,STATBOOST,WEAPON|ONSHOOTSTAT,PROCDEXTERITY|ALIEN,EQUIPMENT|ABILITY
ench|ALIEN_ONSHOOT_HEAL_ROLLABLE|Alien OnShoot Heal|15000||ALIEN,HEAL,ONSHOOT,PROC,RECOVERY,RING,ROLLABLE,WEAPON|HEAL|ALIEN,EQUIPMENT|ABILITY,ARMOR
